"MIC","DIA","lowerCens","upperCens"
1024,6,0,0
128,6,0,0
16,6,0,0
16,6,0,0
16,8,0,0
4,17,0,0
4,18,0,0
2,17,0,0
2,17,0,0
2,17,0,0
2,18,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,19,0,0
2,20,0,0
2,20,0,0
2,20,0,0
2,21,0,0
2,21,0,0
2,22,0,0
1,17,0,0
1,18,0,0
1,18,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,19,0,0
1,20,0,0
1,20,0,0
1,20,0,0
1,20,0,0
1,20,0,0
1,20,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,22,0,0
1,23,0,0
1,23,0,0
1,23,0,0
1,23,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,24,0,0
1,25,0,0
1,25,0,0
1,25,0,0
1,26,0,0
1,26,0,0
1,27,0,0
0.5,18,0,0
0.5,19,0,0
0.5,20,0,0
0.5,20,0,0
0.5,20,0,0
0.5,20,0,0
0.5,20,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,21,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,22,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,23,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,24,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,25,0,0
0.5,26,0,0
0.5,26,0,0
0.5,26,0,0
0.5,26,0,0
0.5,26,0,0
0.5,26,0,0
0.5,27,0,0
0.5,28,0,0
0.5,28,0,0
0.5,28,0,0
0.5,29,0,0
0.5,29,0,0
0.5,29,0,0
0.5,30,0,0
0.5,30,0,0
0.5,33,0,0
0.25,20,0,0
0.25,20,0,0
0.25,21,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,22,0,0
0.25,23,0,0
0.25,23,0,0
0.25,23,0,0
0.25,23,0,0
0.25,23,0,0
0.25,23,0,0
0.25,23,0,0
0.25,24,0,0
0.25,24,0,0
0.25,24,0,0
0.25,24,0,0
0.25,24,0,0
0.25,24,0,0
0.25,24,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,25,0,0
0.25,26,0,0
0.25,26,0,0
0.25,26,0,0
0.25,26,0,0
0.25,26,0,0
0.25,26,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,29,0,0
0.25,29,0,0
0.25,29,0,0
0.25,29,0,0
0.25,30,0,0
0.25,30,0,0
0.25,30,0,0
0.25,31,0,0
0.25,32,0,0
0.25,33,0,0
0.25,33,0,0
0.125,23,0,0
0.125,23,0,0
0.125,24,0,0
0.125,24,0,0
0.125,24,0,0
0.125,24,0,0
0.125,25,0,0
0.125,25,0,0
0.125,25,0,0
0.125,26,0,0
0.125,26,0,0
0.125,26,0,0
0.125,26,0,0
0.125,26,0,0
0.125,26,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,27,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,29,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,30,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,32,0,0
0.125,32,0,0
0.125,32,0,0
0.125,32,0,0
0.125,32,0,0
0.125,32,0,0
0.125,33,0,0
0.125,33,0,0
0.125,33,0,0
0.0625,24,0,0
0.0625,24,0,0
0.0625,26,0,0
0.0625,26,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,28,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,29,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,30,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,32,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,33,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,34,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,35,0,0
0.0625,36,0,0
0.0625,36,0,0
0.0625,36,0,0
0.0625,37,0,0
0.0625,37,0,0
0.0625,38,0,0
0.0625,38,0,0
0.0625,38,0,0
0.0625,39,0,0
0.03125,28,0,0
0.03125,29,0,0
0.03125,29,0,0
0.03125,29,0,0
0.03125,29,0,0
0.03125,29,0,0
