MIC,ZD
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,<6
>4,8
>4,8
>4,9
>4,9
>4,9
>4,11
>4,11
>4,11
>4,12
>4,12
>4,13
>4,13
>4,13
>4,14
>4,14
>4,14
>4,15
>4,15
>4,15
>4,15
>4,15
>4,15
>4,15
>4,15
>4,16
>4,16
>4,16
>4,16
>4,16
>4,16
>4,16
>4,17
>4,17
>4,17
4,15
4,15
4,15
4,15
4,15
4,16
4,16
4,16
4,16
4,16
4,16
4,16
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,19
4,19
4,19
4,19
4,20
4,20
3,17
3,17
3,18
3,18
3,18
3,18
3,19
3,19
3,19
3,19
3,19
3,19
3,20
3,20
3,20
3,20
3,20
3,20
3,21
3,21
3,21
3,22
3,22
3,22
3,23
3,24
2,18
2,19
2,19
2,20
2,20
2,20
2,20
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,22
2,22
2,22
2,22
2,22
2,22
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,24
2,24
2,24
2,25
2,25
2,25
2,25
2,25
2,25
2,25
2,25
2,26
2,26
2,27
2,27
1,22
1,22
1,22
1,22
1,23
1,23
1,24
1,24
1,25
1,25
1,26
1,27
1,28
0,23
0,25
