MIC,ZD
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,6
5,8
5,8
5,9
5,9
5,9
5,11
5,11
5,11
5,12
5,12
5,13
5,13
5,13
5,14
5,14
5,14
5,15
5,15
5,15
5,15
5,15
5,15
5,15
5,15
5,16
5,16
5,16
5,16
5,16
5,16
5,16
5,17
5,17
5,17
4,15
4,15
4,15
4,15
4,15
4,16
4,16
4,16
4,16
4,16
4,16
4,16
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,18
4,19
4,19
4,19
4,19
4,20
4,20
3,17
3,17
3,18
3,18
3,18
3,18
3,19
3,19
3,19
3,19
3,19
3,19
3,20
3,20
3,20
3,20
3,20
3,20
3,21
3,21
3,21
3,22
3,22
3,22
3,23
3,24
2,18
2,19
2,19
2,20
2,20
2,20
2,20
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,21
2,22
2,22
2,22
2,22
2,22
2,22
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,23
2,24
2,24
2,24
2,25
2,25
2,25
2,25
2,25
2,25
2,25
2,25
2,26
2,26
2,27
2,27
1,22
1,22
1,22
1,22
1,23
1,23
1,24
1,24
1,25
1,25
1,26
1,27
1,28
0,23
0,25
