"MIC","DIA","lowerCens","upperCens"
16,6,0,1
16,7,0,1
16,8,0,1
16,10,0,1
16,10,0,1
16,11,0,1
16,11,0,1
16,12,0,1
16,12,0,1
16,11,0,0
16,17,0,0
8,15,0,0
2,19,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,20,0,0
1,21,0,0
1,21,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,27,0,0
0.5,25,0,0
0.5,27,0,0
0.5,27,0,0
0.5,28,0,0
0.5,29,0,0
0.5,29,0,0
0.5,30,0,0
0.25,24,0,0
0.25,26,0,0
0.25,27,0,0
0.25,27,0,0
0.25,27,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,28,0,0
0.25,29,0,0
0.25,29,0,0
0.25,29,0,0
0.25,30,0,0
0.25,31,0,0
0.125,26,0,0
0.125,27,0,0
0.125,27,0,0
0.125,28,0,0
0.125,28,0,0
0.125,28,0,0
0.125,29,0,0
0.125,29,0,0
0.125,30,0,0
0.125,30,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,31,0,0
0.125,32,0,0
0.125,32,0,0
0.125,33,0,0
0.125,42,0,0
0.0625,31,0,0
0.0625,31,0,0
0.0625,32,0,0
0.0625,33,0,0
0.0625,35,0,0
0.03125,28,0,0
0.03125,31,0,0
0.03125,32,0,0
0.03125,35,0,0
0.03125,37,0,0
