Dox MIC,Tet ZD
2,9
-4,26
-5,30
-4,28
-4,28
2,9
-5,29
-5,25
2,10
-4,26
-4,25
-4,26
2,11
-4,29
-4,26
-4,25
-4,27
-4,25
-4,27
2,9
2,9
-4,28
-4,30
-4,24
2,11
-4,26
2,10
-4,28
2,10
2,11
2,10
-4,27
-4,26
-4,26
2,11
-4,26
-4,26
-4,26
2,10
-4,26
3,7
2,10
2,10
2,8
3,9
-3,27
-3,25
2,10
2,10
2,11
2,9
-4,27
-4,27
-4,27
-4,27
-4,27
-4,30
-4,26
-3,25
-4,28
-4,29
2,10
-4,28
-4,26
-4,27
-4,27
-4,28
-4,28
-3,28
-4,26
-4,28
2,9
-3,26
-4,28
2,11
-4,28
2,10
-3,29
-3,27
-3,25
-3,28
-3,27
-4,27
-5,28
2,8
2,9
-4,25
-5,29
2,10
2,12
-4,28
2,10
-5,28
-4,29
2,13
2,9
-4,29
3,8
-4,29
-4,28
1,15
-4,26
-4,27
2,11
2,10
-4,28
-4,28
-5,26
2,10
2,10
-5,27
2,10
2,11
-4,30
2,9
2,10
-4,30
2,9
-4,28
2,10
2,11
-4,30
-5,29
-4,31
-4,30
-5,30
2,9
-5,28
2,10
-4,31
2,9
2,10
-4,27
2,9
2,10
-4,29
2,11
2,11
2,10
2,9
2,11
-4,31
2,10
2,9
-5,26
2,9
2,11
2,9
-4,29
2,10
-4,28
-4,28
2,10
-4,27
-4,28
-4,28
0,10
2,9
2,10
-4,27
-4,29
-4,27
2,7
-4,32
2,9
-4,28
2,9
-4,31
