MIC,ZD
-6,33
-5,26
-5,28
-5,31
-5,32
-4,21
-4,24
-4,25
-4,26
-4,28
-4,28
-3,18
-3,19
-3,20
-3,20
-3,20
-3,20
-3,20
-3,21
-3,22
-3,22
-3,22
-3,22
-3,22
-3,22
-3,23
-3,23
-3,23
-3,24
-3,24
-3,24
-3,24
-3,25
-3,25
-3,25
-3,25
-3,25
-3,26
-3,27
-3,27
-3,27
-3,27
-3,27
-3,28
-3,28
-3,28
-3,29
-3,30
-3,30
-3,31
-3,31
-3,32
-2,17
-2,17
-2,17
-2,18
-2,18
-2,18
-2,18
-2,18
-2,19
-2,19
-2,19
-2,19
-2,19
-2,20
-2,20
-2,20
-2,20
-2,20
-2,20
-2,20
-2,20
-2,21
-2,21
-2,21
-2,21
-2,21
-2,22
-2,22
-2,22
-2,22
-2,22
-2,22
-2,22
-2,22
-2,22
-2,22
-2,23
-2,23
-2,23
-2,23
-2,23
-2,23
-2,23
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,24
-2,25
-2,25
-2,25
-2,26
-2,27
-2,27
-2,28
-2,28
-2,28
-2,28
-2,28
-2,28
-2,29
-2,31
-2,32
-2,35
-1,17
-1,17
-1,17
-1,17
-1,17
-1,18
-1,18
-1,19
-1,19
-1,19
-1,20
-1,20
-1,20
-1,20
-1,20
-1,21
-1,21
-1,21
-1,21
-1,21
-1,21
-1,21
-1,22
-1,22
-1,22
-1,22
-1,23
-1,23
-1,23
-1,23
-1,23
-1,23
-1,23
-1,24
-1,24
-1,24
-1,24
-1,24
-1,24
-1,25
-1,25
-1,25
-1,25
-1,25
-1,26
-1,26
-1,27
-1,27
-1,28
-1,28
-1,30
-1,33
-1,33
-1,25
-1,36
0,17
0,17
0,20
0,22
0,23
0,23
0,23
0,25
0,26
0,28
1,22
1,27
2,14
3,6
4,6
5,6
5,6
5,6
6,6
7,6
8,6
