"MIC","DIA","lowerCens","upperCens"
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,6,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,7,0,1
256,8,0,1
256,8,0,1
256,8,0,1
256,8,0,1
256,9,0,1
256,9,0,1
256,9,0,1
256,10,0,1
256,10,0,1
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,6,0,0
256,7,0,0
256,7,0,0
256,7,0,0
256,8,0,0
256,8,0,0
256,8,0,0
256,8,0,0
256,8,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,9,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,10,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,11,0,0
256,12,0,0
256,12,0,0
256,12,0,0
256,12,0,0
256,12,0,0
256,12,0,0
256,13,0,0
256,13,0,0
256,13,0,0
256,13,0,0
256,14,0,0
256,15,0,0
256,15,0,0
128,6,0,0
128,6,0,0
128,7,0,0
128,8,0,0
128,8,0,0
128,8,0,0
128,9,0,0
128,9,0,0
128,9,0,0
128,9,0,0
128,9,0,0
128,9,0,0
128,10,0,0
128,10,0,0
128,10,0,0
128,10,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,11,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,12,0,0
128,13,0,0
128,13,0,0
128,13,0,0
128,13,0,0
128,13,0,0
128,13,0,0
128,14,0,0
128,14,0,0
128,15,0,0
128,15,0,0
128,15,0,0
128,15,0,0
128,15,0,0
128,16,0,0
128,17,0,0
128,17,0,0
128,18,0,0
128,18,0,0
128,19,0,0
128,20,0,0
64,11,0,0
64,11,0,0
64,13,0,0
64,13,0,0
64,13,0,0
64,13,0,0
64,14,0,0
64,14,0,0
64,14,0,0
64,14,0,0
64,14,0,0
64,14,0,0
64,14,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,15,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,16,0,0
64,19,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,17,0,0
64,18,0,0
64,18,0,0
64,19,0,0
64,19,0,0
64,20,0,0
32,15,0,0
32,15,0,0
32,16,0,0
32,16,0,0
32,17,0,0
32,17,0,0
32,17,0,0
32,17,0,0
32,18,0,0
32,19,0,0
32,19,0,0
32,19,0,0
32,19,0,0
32,19,0,0
32,19,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,20,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,21,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,22,0,0
32,23,0,0
16,18,0,0
16,19,0,0
16,19,0,0
16,19,0,0
16,19,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,20,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,21,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,22,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,23,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,24,0,0
16,25,0,0
16,25,0,0
16,28,0,0
16,28,0,0
16,28,0,0
16,29,0,0
8,21,0,0
8,21,0,0
8,21,0,0
8,21,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,22,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,23,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,24,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,25,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,26,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,27,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,28,0,0
8,29,0,0
8,30,0,0
8,30,0,0
8,31,0,0
8,32,0,0
8,32,0,0
4,22,0,0
4,23,0,0
4,24,0,0
4,24,0,0
4,24,0,0
4,24,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,25,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,26,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,27,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,28,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,29,0,0
4,30,0,0
4,30,0,0
4,30,0,0
4,30,0,0
4,30,0,0
4,30,0,0
4,30,0,0
4,31,0,0
4,31,0,0
4,32,0,0
4,33,0,0
4,33,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,26,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,27,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,28,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,29,0,0
2,30,0,0
2,30,0,0
2,30,0,0
2,30,0,0
2,30,0,0
2,30,0,0
2,31,0,0
2,31,0,0
2,31,0,0
2,31,0,0
2,33,0,0
2,33,0,0
2,34,0,0
2,34,0,0
2,35,0,0
2,35,0,0
1,29,0,0
1,29,0,0
1,31,0,0
1,31,0,0
1,32,0,0
1,32,0,0
0.5,32,0,0
0.5,32,0,0
0.25,32,0,0
0.25,32,0,0
0.25,36,0,0
0.25,37,0,0
0.25,40,0,0
0.25,40,0,0
